Date;China;USA;Eurozone
31.03.1996;10.9;2.6;1.2
30.06.1996;9.4;4;1.5
30.09.1996;9.2;4.1;1.8
31.12.1996;10.3;4.4;1.9
31.03.1997;10.1;4.3;2
30.06.1997;10;4.3;2.5
30.09.1997;8.6;4.7;2.7
31.12.1997;8.6;4.5;3.4
31.03.1998;7.3;4.9;3.9
30.06.1998;6.9;4.1;3
30.09.1998;7.8;4.1;2.8
31.12.1998;9.1;4.9;1.9
31.03.1999;8.9;4.8;2.2
30.06.1999;7.9;4.7;2.3
30.09.1999;7.6;4.7;2.9
31.12.1999;6.7;4.8;3.9
31.03.2000;8.7;4.2;4.2
30.06.2000;9.1;5.3;4.5
30.09.2000;8.8;4.1;3.9
31.12.2000;7.5;3;3.4
31.03.2001;9.5;2.3;3.1
30.06.2001;8.6;1.1;2.3
30.09.2001;8;0.5;1.9
31.12.2001;7.5;0.2;1.4
31.03.2002;8.9;1.3;0.4
30.06.2002;8.8;1.3;0.9
30.09.2002;9.6;2.2;1.2
31.12.2002;9.1;2.1;1.2
31.03.2003;11.1;1.8;0.8
30.06.2003;9.1;2;0.3
30.09.2003;10;3.3;0.5
31.12.2003;10;4.3;1
31.03.2004;10.6;4.3;1.9
30.06.2004;11.6;4.2;2.4
30.09.2004;9.8;3.4;2.1
31.12.2004;8.8;3.3;1.7
31.03.2005;11.1;3.9;1.4
30.06.2005;11.1;3.6;1.5
30.09.2005;9.4;3.5;1.9
31.12.2005;12.4;3.1;2.2
31.03.2006;12.5;3.4;2.9
30.06.2006;13.7;3.1;3.4
30.09.2006;12.2;2.4;3.2
31.12.2006;12.5;2.6;3.8
31.03.2007;13.8;1.5;3.5
30.06.2007;15;1.8;3.1
30.09.2007;14.3;2.2;3
31.12.2007;13.9;2;2.3
31.03.2008;11.5;1.1;2.2
30.06.2008;10.9;1.1;1.1
30.09.2008;9.5;0;0.1
31.12.2008;7.1;-2.8;-2.1
31.03.2009;6.4;-3.3;-5.7
30.06.2009;8.2;-3.9;-5.4
30.09.2009;10.6;-3;-4.5
31.12.2009;11.9;0.2;-2.3
31.03.2010;12.2;1.7;1.2
30.06.2010;10.8;2.8;2.3
30.09.2010;9.9;3.2;2.3
31.12.2010;9.9;2.6;2.4
31.03.2011;10.2;1.9;2.9
30.06.2011;10;1.7;1.9
30.09.2011;9.4;0.9;1.6
31.12.2011;8.8;1.6;0.6
31.03.2012;8.1;2.7;-0.5
30.06.2012;7.7;2.4;-0.8
30.09.2012;7.5;2.5;-1
31.12.2012;8.1;1.5;-1.1
31.03.2013;7.9;1.6;-1.2
30.06.2013;7.6;1.3;-0.4
30.09.2013;7.9;1.9;0
31.12.2013;7.7;2.6;0.7
31.03.2014;7.5;1.4;1.6
30.06.2014;7.6;2.7;1.2
30.09.2014;7.2;3.1;1.4
31.12.2014;7.3;2.9;1.6
31.03.2015;7.1;4;1.8
30.06.2015;7.1;3.3;2.1
30.09.2015;7;2.4;2
31.12.2015;6.9;1.9;2.1
31.03.2016;6.9;1.6;1.9
30.06.2016;6.8;1.3;1.8
30.09.2016;6.8;1.6;1.8
31.12.2016;6.9;2;2.1
31.03.2017;7;2.1;2.2
30.06.2017;7;2.2;2.6
30.09.2017;6.9;2.4;2.9
31.12.2017;6.8;2.8;3
31.03.2018;6.9;2.9;2.6
30.06.2018;6.9;3.2;2.2
30.09.2018;6.7;3.1;1.6
31.12.2018;6.5;2.5;1.2
31.03.2019;6.4;2.7;1.4
30.06.2019;6.2;2.3;1.2
30.09.2019;6;2.1;1.3
31.12.2019;6;2.3;1